country,outcome,bootstrap_replicates,interval_type,interval_basis,confidence_interval_method,rate_median,rate_q025,rate_q975,rate_q025_mcse,rate_q975_mcse,tail_probability_mcse
Australia,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,249.58900431843327,173.7746692559909,327.56308863637736,1.738572649387401,0.3027573156151794,0.004878904686248749
Australia,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,1184.1726614049874,1021.16644055916,1405.4429364351593,0.5258832047353138,1.5857939519524313,0.004878904686248749
Australia,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,4782.758109125012,4193.535702890936,5645.3507998919795,2.7909513740316427,9.819683023086819,0.004878904686248749
China,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,188.10159292720374,115.07859127898774,395.8930118879615,0.3376369348350891,0.9452551874059074,0.004878904686248749
China,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,436.3489141046798,272.6991327621956,1018.0424455040064,0.8776929057535261,2.0014665366568916,0.004878904686248749
China,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,1945.3485291439217,1282.0223939539103,4915.861663531707,4.707692554642942,6.881579314163828,0.004878904686248749
United_Kingdom,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,114.87705391721377,71.74964385248938,238.03660470236983,1.7602209263691615,3.124335393773323,0.004878904686248749
United_Kingdom,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,945.8459510959976,712.6103697978596,1093.5333384437308,0.9283245023701515,31.520251354573013,0.004878904686248749
United_Kingdom,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,4295.5094625801885,3287.3621129949215,4788.245212261801,8.499894841917827,88.91939518122648,0.004878904686248749
Japan,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,255.71695851115015,56.033640967674884,291.64764158139093,11.426084195259644,1.0415926120056915,0.004878904686248749
Japan,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,1132.556484187432,948.2278820555965,1156.277359649405,17.683587109420454,1.1482476283375223,0.004878904686248749
Japan,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,5044.052635071852,4132.530747778558,5172.329788176257,85.51452684071194,9.351535843232064,0.004878904686248749
New_Zealand,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,276.7942869446164,113.22378594497789,327.3747888943752,3.665193870586391,2.1897282758067655,0.004878904686248749
New_Zealand,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,1175.926392407951,594.0334994154613,1323.340579880432,9.30707938924315,5.692597205273963,0.004878904686248749
New_Zealand,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,5087.9427177828875,2864.841288620697,5591.474663241724,56.24322833899936,20.507518949020305,0.004878904686248749
Sweden,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,104.85503804122915,24.071128720082555,120.02387027157785,3.978230442399776,0.7419806108582786,0.004878904686248749
Sweden,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,475.32090039543215,77.20136517430963,582.6221082663819,14.475389914320889,2.894916522808836,0.004878904686248749
Sweden,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,2221.704413612113,214.30058778226334,2925.628462577893,41.12044611961783,19.630201657253675,0.004878904686248749
United_States,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,152.3454170198116,147.0387531831287,249.77905176485152,0.2081043128146235,2.201951175112307,0.004878904686248749
United_States,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,734.0272429885307,702.433895561411,1051.2558356561797,1.1461641258709412,5.194601610588533,0.004878904686248749
United_States,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,3629.2415706992433,3465.1578252048234,4773.04597682535,3.3929010403930335,11.61058168554589,0.004878904686248749
Brazil,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,92.58856078550133,77.68047892938587,116.09918293870055,0.4279191322664591,1.0343990214580971,0.004878904686248749
Brazil,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,462.9972534597766,399.254899694448,567.7709947683825,1.1400967203072283,3.6754461630211277,0.004878904686248749
Brazil,Infections,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,2240.461281442175,1918.7928296387597,2753.1399285631164,6.470140140619381,17.63419373661742,0.004878904686248749
Thailand,Reports,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,106.38623471082603,59.87607679725682,128.00450166949932,1.1285503097177398,0.6968431956005245,0.004878904686248749
Thailand,Symptomatic,1024,95% parametric-bootstrap confidence interval,"Current-practice-only conditional parametric bootstrap. The accepted fitted annual latent transmission path is held as the generating trajectory, surveillance counts are regenerated from the fitted NB2 observation model, and the country state-space model is fully refitted before the same fitted replicate is propagated once through current practice. Biological inputs, AR(1) hyperparameters, and NB2 dispersion remain fixed at prespecified reference values.",percentile_parametric_bootstrap,548.9486308175922,324.50592975392595,700.2144749686258,2.3512395649264826,2.7178431374069016,0.004878904686248749
