Date,Year,Month,Disease,Cases,URL,Country,source_sheet,reporting_frequency,period_start,period_end,interval_days,period_midpoint,config_key,iso3,Week
2015-01-01,2015,1.0,pertussis,1487,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-01-01,2015-02-01,31.0,2015-01-16 12:00:00,Australia,AUS,
2015-02-01,2015,2.0,pertussis,1240,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-02-01,2015-03-01,28.0,2015-02-15 00:00:00,Australia,AUS,
2015-03-01,2015,3.0,pertussis,1360,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-03-01,2015-04-01,31.0,2015-03-16 12:00:00,Australia,AUS,
2015-04-01,2015,4.0,pertussis,1199,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-04-01,2015-05-01,30.0,2015-04-16 00:00:00,Australia,AUS,
2015-05-01,2015,5.0,pertussis,1400,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-05-01,2015-06-01,31.0,2015-05-16 12:00:00,Australia,AUS,
2015-06-01,2015,6.0,pertussis,1589,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-06-01,2015-07-01,30.0,2015-06-16 00:00:00,Australia,AUS,
2015-07-01,2015,7.0,pertussis,1660,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-07-01,2015-08-01,31.0,2015-07-16 12:00:00,Australia,AUS,
2015-08-01,2015,8.0,pertussis,2054,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-08-01,2015-09-01,31.0,2015-08-16 12:00:00,Australia,AUS,
2015-09-01,2015,9.0,pertussis,1940,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-09-01,2015-10-01,30.0,2015-09-16 00:00:00,Australia,AUS,
2015-10-01,2015,10.0,pertussis,2548,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-10-01,2015-11-01,31.0,2015-10-16 12:00:00,Australia,AUS,
2015-11-01,2015,11.0,pertussis,3259,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-11-01,2015-12-01,30.0,2015-11-16 00:00:00,Australia,AUS,
2015-12-01,2015,12.0,pertussis,2835,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2015-12-01,2016-01-01,31.0,2015-12-16 12:00:00,Australia,AUS,
2016-01-01,2016,1.0,pertussis,2317,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-01-01,2016-02-01,31.0,2016-01-16 12:00:00,Australia,AUS,
2016-02-01,2016,2.0,pertussis,1940,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-02-01,2016-03-01,29.0,2016-02-15 12:00:00,Australia,AUS,
2016-03-01,2016,3.0,pertussis,1635,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-03-01,2016-04-01,31.0,2016-03-16 12:00:00,Australia,AUS,
2016-04-01,2016,4.0,pertussis,1338,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-04-01,2016-05-01,30.0,2016-04-16 00:00:00,Australia,AUS,
2016-05-01,2016,5.0,pertussis,1325,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-05-01,2016-06-01,31.0,2016-05-16 12:00:00,Australia,AUS,
2016-06-01,2016,6.0,pertussis,1213,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-06-01,2016-07-01,30.0,2016-06-16 00:00:00,Australia,AUS,
2016-07-01,2016,7.0,pertussis,1250,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-07-01,2016-08-01,31.0,2016-07-16 12:00:00,Australia,AUS,
2016-08-01,2016,8.0,pertussis,1601,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-08-01,2016-09-01,31.0,2016-08-16 12:00:00,Australia,AUS,
2016-09-01,2016,9.0,pertussis,1922,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-09-01,2016-10-01,30.0,2016-09-16 00:00:00,Australia,AUS,
2016-10-01,2016,10.0,pertussis,1902,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-10-01,2016-11-01,31.0,2016-10-16 12:00:00,Australia,AUS,
2016-11-01,2016,11.0,pertussis,2038,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-11-01,2016-12-01,30.0,2016-11-16 00:00:00,Australia,AUS,
2016-12-01,2016,12.0,pertussis,1636,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2016-12-01,2017-01-01,31.0,2016-12-16 12:00:00,Australia,AUS,
2017-01-01,2017,1.0,pertussis,1364,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-01-01,2017-02-01,31.0,2017-01-16 12:00:00,Australia,AUS,
2017-02-01,2017,2.0,pertussis,1012,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-02-01,2017-03-01,28.0,2017-02-15 00:00:00,Australia,AUS,
2017-03-01,2017,3.0,pertussis,1053,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-03-01,2017-04-01,31.0,2017-03-16 12:00:00,Australia,AUS,
2017-04-01,2017,4.0,pertussis,843,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-04-01,2017-05-01,30.0,2017-04-16 00:00:00,Australia,AUS,
2017-05-01,2017,5.0,pertussis,1043,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-05-01,2017-06-01,31.0,2017-05-16 12:00:00,Australia,AUS,
2017-06-01,2017,6.0,pertussis,950,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-06-01,2017-07-01,30.0,2017-06-16 00:00:00,Australia,AUS,
2017-07-01,2017,7.0,pertussis,1055,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-07-01,2017-08-01,31.0,2017-07-16 12:00:00,Australia,AUS,
2017-08-01,2017,8.0,pertussis,1097,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-08-01,2017-09-01,31.0,2017-08-16 12:00:00,Australia,AUS,
2017-09-01,2017,9.0,pertussis,977,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-09-01,2017-10-01,30.0,2017-09-16 00:00:00,Australia,AUS,
2017-10-01,2017,10.0,pertussis,1020,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-10-01,2017-11-01,31.0,2017-10-16 12:00:00,Australia,AUS,
2017-11-01,2017,11.0,pertussis,1002,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-11-01,2017-12-01,30.0,2017-11-16 00:00:00,Australia,AUS,
2017-12-01,2017,12.0,pertussis,819,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2017-12-01,2018-01-01,31.0,2017-12-16 12:00:00,Australia,AUS,
2018-01-01,2018,1.0,pertussis,877,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-01-01,2018-02-01,31.0,2018-01-16 12:00:00,Australia,AUS,
2018-02-01,2018,2.0,pertussis,817,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-02-01,2018-03-01,28.0,2018-02-15 00:00:00,Australia,AUS,
2018-03-01,2018,3.0,pertussis,772,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-03-01,2018-04-01,31.0,2018-03-16 12:00:00,Australia,AUS,
2018-04-01,2018,4.0,pertussis,742,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-04-01,2018-05-01,30.0,2018-04-16 00:00:00,Australia,AUS,
2018-05-01,2018,5.0,pertussis,780,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-05-01,2018-06-01,31.0,2018-05-16 12:00:00,Australia,AUS,
2018-06-01,2018,6.0,pertussis,695,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-06-01,2018-07-01,30.0,2018-06-16 00:00:00,Australia,AUS,
2018-07-01,2018,7.0,pertussis,729,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-07-01,2018-08-01,31.0,2018-07-16 12:00:00,Australia,AUS,
2018-08-01,2018,8.0,pertussis,1171,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-08-01,2018-09-01,31.0,2018-08-16 12:00:00,Australia,AUS,
2018-09-01,2018,9.0,pertussis,1081,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-09-01,2018-10-01,30.0,2018-09-16 00:00:00,Australia,AUS,
2018-10-01,2018,10.0,pertussis,1429,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-10-01,2018-11-01,31.0,2018-10-16 12:00:00,Australia,AUS,
2018-11-01,2018,11.0,pertussis,1827,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-11-01,2018-12-01,30.0,2018-11-16 00:00:00,Australia,AUS,
2018-12-01,2018,12.0,pertussis,1535,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2018-12-01,2019-01-01,31.0,2018-12-16 12:00:00,Australia,AUS,
2019-01-01,2019,1.0,pertussis,1315,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-01-01,2019-02-01,31.0,2019-01-16 12:00:00,Australia,AUS,
2019-02-01,2019,2.0,pertussis,835,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-02-01,2019-03-01,28.0,2019-02-15 00:00:00,Australia,AUS,
2019-03-01,2019,3.0,pertussis,935,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-03-01,2019-04-01,31.0,2019-03-16 12:00:00,Australia,AUS,
2019-04-01,2019,4.0,pertussis,793,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-04-01,2019-05-01,30.0,2019-04-16 00:00:00,Australia,AUS,
2019-05-01,2019,5.0,pertussis,985,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-05-01,2019-06-01,31.0,2019-05-16 12:00:00,Australia,AUS,
2019-06-01,2019,6.0,pertussis,841,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-06-01,2019-07-01,30.0,2019-06-16 00:00:00,Australia,AUS,
2019-07-01,2019,7.0,pertussis,959,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-07-01,2019-08-01,31.0,2019-07-16 12:00:00,Australia,AUS,
2019-08-01,2019,8.0,pertussis,1057,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-08-01,2019-09-01,31.0,2019-08-16 12:00:00,Australia,AUS,
2019-09-01,2019,9.0,pertussis,1034,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-09-01,2019-10-01,30.0,2019-09-16 00:00:00,Australia,AUS,
2019-10-01,2019,10.0,pertussis,1020,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-10-01,2019-11-01,31.0,2019-10-16 12:00:00,Australia,AUS,
2019-11-01,2019,11.0,pertussis,1177,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-11-01,2019-12-01,30.0,2019-11-16 00:00:00,Australia,AUS,
2019-12-01,2019,12.0,pertussis,1074,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2019-12-01,2020-01-01,31.0,2019-12-16 12:00:00,Australia,AUS,
2020-01-01,2020,1.0,pertussis,871,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-01-01,2020-02-01,31.0,2020-01-16 12:00:00,Australia,AUS,
2020-02-01,2020,2.0,pertussis,762,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-02-01,2020-03-01,29.0,2020-02-15 12:00:00,Australia,AUS,
2020-03-01,2020,3.0,pertussis,682,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-03-01,2020-04-01,31.0,2020-03-16 12:00:00,Australia,AUS,
2020-04-01,2020,4.0,pertussis,371,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-04-01,2020-05-01,30.0,2020-04-16 00:00:00,Australia,AUS,
2020-05-01,2020,5.0,pertussis,213,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-05-01,2020-06-01,31.0,2020-05-16 12:00:00,Australia,AUS,
2020-06-01,2020,6.0,pertussis,175,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-06-01,2020-07-01,30.0,2020-06-16 00:00:00,Australia,AUS,
2020-07-01,2020,7.0,pertussis,128,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-07-01,2020-08-01,31.0,2020-07-16 12:00:00,Australia,AUS,
2020-08-01,2020,8.0,pertussis,70,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-08-01,2020-09-01,31.0,2020-08-16 12:00:00,Australia,AUS,
2020-09-01,2020,9.0,pertussis,51,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-09-01,2020-10-01,30.0,2020-09-16 00:00:00,Australia,AUS,
2020-10-01,2020,10.0,pertussis,24,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-10-01,2020-11-01,31.0,2020-10-16 12:00:00,Australia,AUS,
2020-11-01,2020,11.0,pertussis,43,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-11-01,2020-12-01,30.0,2020-11-16 00:00:00,Australia,AUS,
2020-12-01,2020,12.0,pertussis,48,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2020-12-01,2021-01-01,31.0,2020-12-16 12:00:00,Australia,AUS,
2021-01-01,2021,1.0,pertussis,34,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-01-01,2021-02-01,31.0,2021-01-16 12:00:00,Australia,AUS,
2021-02-01,2021,2.0,pertussis,54,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-02-01,2021-03-01,28.0,2021-02-15 00:00:00,Australia,AUS,
2021-03-01,2021,3.0,pertussis,53,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-03-01,2021-04-01,31.0,2021-03-16 12:00:00,Australia,AUS,
2021-04-01,2021,4.0,pertussis,48,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-04-01,2021-05-01,30.0,2021-04-16 00:00:00,Australia,AUS,
2021-05-01,2021,5.0,pertussis,52,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-05-01,2021-06-01,31.0,2021-05-16 12:00:00,Australia,AUS,
2021-06-01,2021,6.0,pertussis,57,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-06-01,2021-07-01,30.0,2021-06-16 00:00:00,Australia,AUS,
2021-07-01,2021,7.0,pertussis,38,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-07-01,2021-08-01,31.0,2021-07-16 12:00:00,Australia,AUS,
2021-08-01,2021,8.0,pertussis,48,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-08-01,2021-09-01,31.0,2021-08-16 12:00:00,Australia,AUS,
2021-09-01,2021,9.0,pertussis,38,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-09-01,2021-10-01,30.0,2021-09-16 00:00:00,Australia,AUS,
2021-10-01,2021,10.0,pertussis,41,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-10-01,2021-11-01,31.0,2021-10-16 12:00:00,Australia,AUS,
2021-11-01,2021,11.0,pertussis,47,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-11-01,2021-12-01,30.0,2021-11-16 00:00:00,Australia,AUS,
2021-12-01,2021,12.0,pertussis,30,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2021-12-01,2022-01-01,31.0,2021-12-16 12:00:00,Australia,AUS,
2022-01-01,2022,1.0,pertussis,41,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-01-01,2022-02-01,31.0,2022-01-16 12:00:00,Australia,AUS,
2022-02-01,2022,2.0,pertussis,43,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-02-01,2022-03-01,28.0,2022-02-15 00:00:00,Australia,AUS,
2022-03-01,2022,3.0,pertussis,47,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-03-01,2022-04-01,31.0,2022-03-16 12:00:00,Australia,AUS,
2022-04-01,2022,4.0,pertussis,22,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-04-01,2022-05-01,30.0,2022-04-16 00:00:00,Australia,AUS,
2022-05-01,2022,5.0,pertussis,39,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-05-01,2022-06-01,31.0,2022-05-16 12:00:00,Australia,AUS,
2022-06-01,2022,6.0,pertussis,35,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-06-01,2022-07-01,30.0,2022-06-16 00:00:00,Australia,AUS,
2022-07-01,2022,7.0,pertussis,42,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-07-01,2022-08-01,31.0,2022-07-16 12:00:00,Australia,AUS,
2022-08-01,2022,8.0,pertussis,64,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-08-01,2022-09-01,31.0,2022-08-16 12:00:00,Australia,AUS,
2022-09-01,2022,9.0,pertussis,38,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-09-01,2022-10-01,30.0,2022-09-16 00:00:00,Australia,AUS,
2022-10-01,2022,10.0,pertussis,40,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-10-01,2022-11-01,31.0,2022-10-16 12:00:00,Australia,AUS,
2022-11-01,2022,11.0,pertussis,36,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-11-01,2022-12-01,30.0,2022-11-16 00:00:00,Australia,AUS,
2022-12-01,2022,12.0,pertussis,36,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2022-12-01,2023-01-01,31.0,2022-12-16 12:00:00,Australia,AUS,
2023-01-01,2023,1.0,pertussis,46,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-01-01,2023-02-01,31.0,2023-01-16 12:00:00,Australia,AUS,
2023-02-01,2023,2.0,pertussis,34,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-02-01,2023-03-01,28.0,2023-02-15 00:00:00,Australia,AUS,
2023-03-01,2023,3.0,pertussis,44,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-03-01,2023-04-01,31.0,2023-03-16 12:00:00,Australia,AUS,
2023-04-01,2023,4.0,pertussis,43,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-04-01,2023-05-01,30.0,2023-04-16 00:00:00,Australia,AUS,
2023-05-01,2023,5.0,pertussis,77,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-05-01,2023-06-01,31.0,2023-05-16 12:00:00,Australia,AUS,
2023-06-01,2023,6.0,pertussis,92,https://globalinfectiousdisease.com/diseases/pertussis/,AU,AU,monthly,2023-06-01,2023-07-01,30.0,2023-06-16 00:00:00,Australia,AUS,
