country,iso3,location,source_age_group,target_age_group,contacts_per_day,source,source_type
Australia,AUS,all,child_1_4y,child_5_9y,1.05034,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_1_4y,adolescent_10_17y,0.473718,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_1_4y,young_adult_18_39y,3.30127,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_1_4y,middle_adult_40_64y,1.916087,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_1_4y,elderly_65plus,0.530858,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,infant_0_2m,0.033908,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,infant_3_11m,0.169542,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,child_1_4y,0.815172,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,child_5_9y,5.813133,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,adolescent_10_17y,1.636474,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,young_adult_18_39y,2.955665,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,middle_adult_40_64y,2.609207,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,child_5_9y,elderly_65plus,0.731654,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,infant_0_2m,0.009186,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,infant_3_11m,0.045931,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,child_1_4y,0.220839,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,child_5_9y,0.982982,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,adolescent_10_17y,8.5449,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,young_adult_18_39y,5.053252,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,middle_adult_40_64y,3.620647,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,adolescent_10_17y,elderly_65plus,0.702094,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,infant_0_2m,0.021135,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,infant_3_11m,0.105676,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,child_1_4y,0.508101,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,child_5_9y,0.586145,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,adolescent_10_17y,1.668339,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,young_adult_18_39y,8.402069,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,middle_adult_40_64y,4.447228,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,young_adult_18_39y,elderly_65plus,0.544597,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,infant_0_2m,0.011893,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,infant_3_11m,0.059465,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,child_1_4y,0.285911,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,child_5_9y,0.501655,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,adolescent_10_17y,1.158901,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,young_adult_18_39y,4.31158,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,middle_adult_40_64y,5.175985,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,middle_adult_40_64y,elderly_65plus,0.766588,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,infant_0_2m,0.00573,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,infant_3_11m,0.02865,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,child_1_4y,0.13775,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,child_5_9y,0.244625,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,adolescent_10_17y,0.390799,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,young_adult_18_39y,0.918165,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,middle_adult_40_64y,1.333092,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,all,elderly_65plus,elderly_65plus,1.258211,Prem/contactdata 2017 all matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,infant_0_2m,0.021966,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,infant_3_11m,0.10983,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,child_1_4y,0.528072,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,child_5_9y,0.414272,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,adolescent_10_17y,0.227228,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,young_adult_18_39y,1.96568,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,middle_adult_40_64y,0.902671,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_0_2m,elderly_65plus,0.340758,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,infant_0_2m,0.021966,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,infant_3_11m,0.10983,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,child_1_4y,0.528072,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,child_5_9y,0.414272,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,adolescent_10_17y,0.227228,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,young_adult_18_39y,1.96568,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,middle_adult_40_64y,0.902671,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,infant_3_11m,elderly_65plus,0.340758,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,infant_0_2m,0.021966,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,infant_3_11m,0.10983,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,child_1_4y,0.528072,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,child_5_9y,0.414272,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,adolescent_10_17y,0.227228,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,young_adult_18_39y,1.96568,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,middle_adult_40_64y,0.902671,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_1_4y,elderly_65plus,0.340758,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,infant_0_2m,0.013374,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,infant_3_11m,0.06687,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,child_1_4y,0.321517,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,child_5_9y,0.89546,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,adolescent_10_17y,0.492499,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,young_adult_18_39y,1.581332,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,middle_adult_40_64y,1.237341,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,child_5_9y,elderly_65plus,0.527717,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,infant_0_2m,0.004406,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,infant_3_11m,0.022032,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,child_1_4y,0.105929,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,child_5_9y,0.29583,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,adolescent_10_17y,1.490073,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,young_adult_18_39y,1.019424,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,middle_adult_40_64y,1.515298,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,adolescent_10_17y,elderly_65plus,0.534416,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,infant_0_2m,0.012585,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,infant_3_11m,0.062923,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,child_1_4y,0.302539,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,child_5_9y,0.313598,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,adolescent_10_17y,0.336564,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,young_adult_18_39y,1.460739,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,middle_adult_40_64y,0.699522,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,young_adult_18_39y,elderly_65plus,0.227888,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,infant_0_2m,0.005603,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,infant_3_11m,0.028014,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,child_1_4y,0.134693,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,child_5_9y,0.237896,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,adolescent_10_17y,0.485018,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,young_adult_18_39y,0.678186,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,middle_adult_40_64y,1.09113,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,middle_adult_40_64y,elderly_65plus,0.275081,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,infant_0_2m,0.003678,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,infant_3_11m,0.01839,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,child_1_4y,0.088422,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,child_5_9y,0.17644,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,adolescent_10_17y,0.297466,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,young_adult_18_39y,0.384209,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,middle_adult_40_64y,0.478365,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,home,elderly_65plus,elderly_65plus,0.632299,Prem/contactdata 2017 home matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,infant_0_2m,0.038752,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,infant_3_11m,0.193758,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,child_1_4y,0.931604,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,child_5_9y,0.281804,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,adolescent_10_17y,0.043208,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,young_adult_18_39y,0.239928,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,middle_adult_40_64y,0.310355,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_0_2m,elderly_65plus,0.001336,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,infant_0_2m,0.038752,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,infant_3_11m,0.193758,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,child_1_4y,0.931604,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,child_5_9y,0.281804,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,adolescent_10_17y,0.043208,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,young_adult_18_39y,0.239928,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,middle_adult_40_64y,0.310355,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,infant_3_11m,elderly_65plus,0.001336,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,infant_0_2m,0.038752,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,infant_3_11m,0.193758,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,child_1_4y,0.931604,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,child_5_9y,0.281804,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,adolescent_10_17y,0.043208,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,young_adult_18_39y,0.239928,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,middle_adult_40_64y,0.310355,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_1_4y,elderly_65plus,0.001336,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,infant_0_2m,0.009098,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,infant_3_11m,0.045488,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,child_1_4y,0.218709,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,child_5_9y,3.56341,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,adolescent_10_17y,0.487271,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,young_adult_18_39y,0.475955,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,middle_adult_40_64y,0.69769,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,child_5_9y,elderly_65plus,0.026994,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,infant_0_2m,0.000838,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,infant_3_11m,0.004189,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,child_1_4y,0.020143,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,child_5_9y,0.292689,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,adolescent_10_17y,4.324125,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,young_adult_18_39y,1.437229,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,middle_adult_40_64y,0.822453,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,adolescent_10_17y,elderly_65plus,0.009538,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,infant_0_2m,0.001536,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,infant_3_11m,0.00768,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,child_1_4y,0.036927,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,child_5_9y,0.094388,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,adolescent_10_17y,0.474503,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,young_adult_18_39y,0.552367,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,middle_adult_40_64y,0.190806,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,young_adult_18_39y,elderly_65plus,0.00577,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,infant_0_2m,0.001926,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,infant_3_11m,0.009632,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,child_1_4y,0.04631,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,child_5_9y,0.13414,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,adolescent_10_17y,0.263252,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,young_adult_18_39y,0.184986,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,middle_adult_40_64y,0.142682,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,middle_adult_40_64y,elderly_65plus,0.011482,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,infant_0_2m,1.4e-05,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,infant_3_11m,7.2e-05,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,child_1_4y,0.000347,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,child_5_9y,0.009025,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,adolescent_10_17y,0.005309,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,young_adult_18_39y,0.009729,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,middle_adult_40_64y,0.019968,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school,elderly_65plus,elderly_65plus,0.017587,Prem/contactdata 2017 school matrix aggregated with WPP age weights and reciprocity balanced,derived
