parameter,description,baseline_value,range,unit,source_or_assumption,source_note,used_in_sensitivity_analysis
Analysis horizon,Simulation analysis horizon,9495.0,Prespecified sensitivity range in model settings,days,Analysis design,"Calendar-defined 2025-01-01 to 2050-12-31 horizon (26 years); this is an analysis-design choice, not a literature-estimated parameter.",False
Pre-analysis burn-in,Pre-analysis burn-in horizon,15.0,Prespecified sensitivity range in model settings,years,Analysis design,Initialization choice used to reduce dependence on arbitrary starting infections and immunity; not a directly cited biological parameter.,False
Sensitive-strain transmission coefficient ($\beta_{\mathrm{sens}}$),Transmission rate for macrolide-sensitive pertussis,0.01,Prespecified sensitivity range in model settings,per contact day,Calibrated to reported pertussis incidence,Baseline placeholder in the shared configuration; country-specific sensitive-strain transmission coefficients are calibrated to reported surveillance and reported separately in the calibration diagnostics.,False
Relative infectiousness of asymptomatic infection,Relative infectiousness of asymptomatic infection,0.35,Prespecified sensitivity range in model settings,ratio,Literature-informed assumption,"WHO/aP evidence supports residual infection and transmission under aP-like protection, but not this exact ratio; retained as a sensitivity parameter.",True
Inter-epidemic recurrence period,Target/diagnostic inter-epidemic period,4.0,Prespecified sensitivity range in model settings,years,Pertussis cycle-model evidence,Country profiles infer 3-5-year periodicity from annual surveillance peaks when visible; otherwise use 4 years.,False
Multi-year recurrence amplitude,Weak multi-year phase-locking amplitude,0.0,Prespecified sensitivity range in model settings,ratio,Model-structure assumption,Weak phase-locking term disabled by default; main interpretation remains susceptible depletion/replenishment plus seasonal forcing.,True
Latent period,Latent period duration,8.0,Prespecified sensitivity range in model settings,days,CDC clinical guidance,Uses 8 days within CDC's common 7-10 day incubation range.,False
Symptomatic infectious period,Symptomatic infectious duration,21.0,Prespecified sensitivity range in model settings,days,CDC clinical guidance,"Uses 21 days, aligned with infectiousness through roughly the third week after paroxysm onset.",True
Asymptomatic infectious period,Asymptomatic infectious duration,14.0,Prespecified sensitivity range in model settings,days,Literature-informed assumption,Shorter duration for mild/asymptomatic infections is a modeling assumption anchored to the symptomatic infectious window; sensitivity range retained.,True
Post-infection protection duration,Duration of post-infection protection,3285.0,"Prespecified sensitivity range in model settings, implemented through the reciprocal waning rate",days,CDC clinical guidance and cycle-model evidence,Uses 9 years within CDC's 4-20 year observational range; longer natural-immunity values remain sensitivity cases within the current SIRWS waning-and-boosting structure.,True
Vaccine-derived protection duration,Duration of vaccine-derived protection proxy,1825.0,"Prespecified sensitivity range in model settings, implemented through the reciprocal waning rate",days,aP waning literature,Uses 5 years to approximate rapid aP waning; meta-analysis shows marked decline by 3-7 years.,True
Treatment initiation rate for symptomatic infection,Daily transition from symptomatic infection to treatment,0.025,Prespecified sensitivity range in model settings,per day,CDC guidance plus implementation assumption,CDC supports early macrolide treatment but does not define the daily treatment transition rate; numeric treatment effects are implementation assumptions evaluated in sensitivity/scenario analyses.,True
Treatment initiation rate for asymptomatic infection,Daily transition from asymptomatic infection to treatment,0.002,Prespecified sensitivity range in model settings,per day,Clinical-pathway implementation assumption,Asymptomatic treatment is assumed rare and is scaled by diagnosis probability in the ODE treatment block; included to keep the treatment-rate implementation traceable to code.,False
PEP reach among close contacts,Dynamic PEP coverage ceiling among close contacts,0.3,Prespecified sensitivity range in model settings,proportion,CDC guidance plus implementation assumption,CDC supports PEP for household/high-risk contacts but does not define this coverage ceiling; the numeric value approximates reach in a model without explicit households.,True
