parameter_group,parameter,value_or_center,uncertainty_range,unit,distribution,analysis_role,interpretation
Optional nonpublication legacy research conditional state target,log_beta_S,Pre-surveillance country configuration,Bounded beta_S support 0.0005 to 0.5,log scale,"Normal(log pre-surveillance sensitive-strain transmission coefficient, 1.0)",optional_nonpublication_legacy_research,Updated once by annual surveillance and propagated by exact-target importance resampling; conditional transmission-rate uncertainty with fixed AR(1) and measurement hyperparameters.
Optional nonpublication legacy research conditional state target,log_reporting_multiplier,Pre-surveillance multiplier 1.0,Bounded multiplier support 0.1 to 10.0,log scale,"Normal(log pre-surveillance reporting multiplier, 0.5)",optional_nonpublication_legacy_research,Updated once by annual surveillance and propagated by exact-target importance resampling; conditional surveillance/reporting uncertainty.
Optional nonpublication legacy research external structural prior,VE_sus,0.15,Normalized beta support 0.01 to 0.60,proportion,"Beta(mean=0.15, sd=0.1)",optional_nonpublication_legacy_research,"Literature-informed decomposition parameter for reduced susceptibility after aP vaccination. Aggregate studies support high disease protection and waning protection but do not directly identify this component from surveillance data; [0.30, 0.60] is retained as a modelling range for sensitivity and pilot uncertainty runs."
Optional nonpublication legacy research external structural prior,VE_inf,0.25,Normalized beta support 0.05 to 0.60,proportion,"Beta(mean=0.25, sd=0.15)",optional_nonpublication_legacy_research,Broad vaccine-mechanism prior for reduced onward infectiousness among vaccinated infections. Human data support residual transmission but do not identify this component separately.
Optional nonpublication legacy research external structural prior,VE_dur,0.1,Normalized beta support 0.001 to 0.50,proportion,"Beta(mean=0.1, sd=0.1)",optional_nonpublication_legacy_research,Mechanistic duration-shortening proxy for reduced infectious duration among vaccinated infections; retained only for optional legacy research and independent vaccine-mechanism sensitivity diagnostics.
Optional nonpublication legacy research external structural prior,relative_infectiousness_asymptomatic,0.5,Normalized beta support 0.05 to 0.95,proportion,"Beta(mean=0.5, sd=0.25)",optional_nonpublication_legacy_research,Relative infectiousness of asymptomatic/subclinical infections compared with symptomatic cases. The exact ratio is not identified; the central registry assigns a broad weak-model prior.
Optional nonpublication legacy research external structural prior,infectious_duration_symptomatic,24.0,Truncated lognormal support 14 to 35 days,days,"Log-normal around baseline, log_sd=0.103",optional_nonpublication_legacy_research,"Compatibility width only. The normalized Bayesian prior is centred at the literature model-fit median of 24 days and truncated to [14, 35] days in parameter_distributions.yaml."
Optional nonpublication legacy research external structural prior,infectious_duration_asymptomatic,17.3,Truncated lognormal support 7 to 28 days,days,"Log-normal around baseline, log_sd=0.3",optional_nonpublication_legacy_research,"Weak modelling assumption; the central registry uses median 17.3 days and support [7, 28] because human data do not identify it."
Optional nonpublication legacy research external structural prior,fitness_R,1.0,0.70 to 1.25,ratio,"Truncated normal(mean=1.0, sd=0.15, range=0.7-1.25)",optional_nonpublication_legacy_research,"Compatibility width alias. Production uses the central truncated lognormal weak-model prior (median 1.0, log-SD 0.15, support [0.70, 1.25])."
Fixed structural input,resistance_prevalence,Country-timeline anchor,"Country-timeline anchor; fixed scenarios 0.05, 0.30, 0.70, and 0.95",proportion,"Fixed country timeline, floor_sd=0.03",optional_nonpublication_legacy_research,Resistance prevalence is fixed at the country-timeline value in this optional legacy research design. Independent resistance scenarios and fitness-grid diagnostics evaluate that structural uncertainty; this row is not a resistance-management PSA input.
Optional nonpublication legacy research intervention effect,maternal_VE_sus,0.55,0.30 to 0.80 interpretation range,proportion,"Beta(mean=0.55, sd=0.12)",optional_nonpublication_legacy_research,"Prior for maternal antibody protection against infant infection. Centered on 0.55 using maternal Tdap effectiveness evidence for confirmed pertussis in infants younger than 2 months [36], which combines infection prevention and disease prevention. The infection-blocking component is a decomposed model assumption guided by maternal immunization effectiveness studies [10,12]. SD of 0.12 allows exploration of [0.30, 0.80]."
Optional nonpublication legacy research intervention effect,maternal_VE_sym,0.92,0.00 to 1.00 beta support; high-confidence mass near 0.92,proportion,"Beta(mean=0.92, sd=0.05)",optional_nonpublication_legacy_research,"Prior for maternal antibody protection against symptomatic disease given infection. High confidence is based on consistent estimates of VE against hospitalization (>90%) across US, UK, and Argentina studies [10,36,37]. Narrow SD reflects strong evidence consensus."
Optional nonpublication legacy research intervention implementation,optional_research_adolescent_coverage_floor,0.9,0.75 to 0.98,proportion,"Triangular(low=0.75, mode=0.9, high=0.98)",optional_nonpublication_legacy_research,Plausible achieved adolescent Tdap coverage floor under scale-up; sampled at draw level and paired across current-practice and intervention simulations.
Optional nonpublication legacy research intervention implementation,optional_research_maternal_coverage_floor,0.75,0.55 to 0.9,proportion,"Triangular(low=0.55, mode=0.75, high=0.9)",optional_nonpublication_legacy_research,Plausible achieved pregnancy Tdap coverage floor under scale-up; sampled at draw level and paired across current-practice and intervention simulations.
Optional nonpublication legacy research intervention implementation,optional_research_young_adult_coverage_floor,0.55,0.35 to 0.75,proportion,"Triangular(low=0.35, mode=0.55, high=0.75)",optional_nonpublication_legacy_research,Plausible achieved close-contact/reproductive-age adult Tdap coverage floor; sampled at draw level and paired across current-practice and intervention simulations.
Optional nonpublication legacy research intervention effect,optional_research_contact_reduction_fraction,0.15,0.05 to 0.3,proportion,"Triangular(low=0.05, mode=0.15, high=0.3)",optional_nonpublication_legacy_research,Directional reduction in young-adult to infant effective contacts for adjunct exposure reduction; sampled at draw level and paired across current-practice and intervention simulations.
Optional nonpublication legacy research intervention implementation,optional_research_targeted_pep_coverage,0.45,0.05 to 0.6,proportion,"Triangular(low=0.05, mode=0.45, high=0.6)",optional_nonpublication_legacy_research,Plausible household-contact PEP reach among guideline-prioritized contacts; sampled at draw level and paired across current-practice and intervention simulations.
Optional nonpublication legacy research intervention effect,optional_research_maternal_protection_duration_days,180.0,90.0 to 270.0,days,"Triangular(low=90.0, mode=180.0, high=270.0)",optional_nonpublication_legacy_research,Duration of passive maternal protection in early infancy; sampled at draw level and paired across current-practice and intervention simulations.
