strategy,description,scenario_category,interpretive_status,modified_control_levers,interpretation_note
current,Current vaccination and standard macrolide treatment.,Comparator,Current practice,"Country-specific schedule, coverage, treatment, and PEP assumptions retained.",Baseline comparator; implementation intensity is zero by construction.
higher_child_coverage,Raise routine infant and childhood coverage to policy-plausible floors without lowering countries that already exceed those floors.,Program-only option,Implementable routine-program lever,"Nominal infant and childhood coverage floors raised; dose timing, vaccine mechanism, treatment, and PEP assumptions unchanged.","Tests marginal nominal coverage gains, not the value of routine vaccination itself."
timeliness_only,"Schedule-relative routine timeliness improvement: delivery shifted toward age-appropriate dose histories implied by each country profile's routine schedule, with nominal final coverage unchanged.",Program-only option,Implementable routine-program lever,"Routine-delivery rate and age-bin vaccine-origin targets shifted toward the dose histories implied by each profile's recommended schedule (for example W6/W10/W14, M2/M4/M6, or M3/M5/M12); nominal coverage and vaccine mechanism unchanged.",Tests reducing delays relative to the local schedule rather than imposing a common absolute start age.
adolescent_booster,School-age or adolescent Tdap booster scale-up using the current aP-like mechanism.,Program-only option,Program-dependent lever,Older-child or adolescent booster coverage raised where schedule structure permits; infant DTaP and pregnancy Tdap unchanged.,Indirect infant benefit depends on older-age transmission and was selected only in the shortest-overlap calibration profile.
pregnancy_tdap_scaleup,"Pregnancy Tdap scale-up for direct early-infant protection, aligned with guidance that prioritizes vaccination during each pregnancy. This scenario modifies newborn passive protection only and does not change routine infant DTaP coverage.",Program-only option,Implementable maternal-program lever,"Newborn passive protection increased; routine infant DTaP coverage, adult contact structure, and treatment assumptions unchanged.",Direct early-infant protection component; not an adult-source reduction package.
cocooning_adjunct,"Close-contact adult Tdap/contact-reduction adjunct for households and caregivers of infants. The contact reduction is intentionally smaller than prior composite assumptions because close-contact adult programs are difficult to implement and should be interpreted as an adjunct to pregnancy Tdap, not a replacement.",Program-only option,Implementation-dependent adjunct,Close-contact adult protection and adult-to-infant exposure reduction strengthened at a smaller magnitude than the full infant-exposure package.,"Should be read as adjunctive household/contact management, not a replacement for pregnancy Tdap."
maternal_immunization,"High-intensity infant-exposure pathway package. This combines pregnancy Tdap scale-up for direct infant antibody protection with a close-contact adult Tdap/contact-reduction adjunct for reproductive-age adult sources. It is a mechanistic infant-protection package, not a maternal immunization-only effect estimate or evidence that cocooning alone prevents infant morbidity and mortality.",Program-only composite,Mechanistic package,"Pregnancy Tdap, close-contact adult protection, reproductive-age adult boosting, and reduced adult-to-infant contact combined.",Primary infant-exposure package; not a maternal-vaccination-only effect estimate and decomposed in supplementary analyses.
targeted_pep_high_risk,"Targeted postexposure prophylaxis for household contacts, infants, and high-risk infant settings. This represents improved reach among guideline-prioritized contacts, not broad community PEP.",Program-only option,Implementation-dependent contact-management lever,PEP reach increased among guideline-prioritized contacts and high-risk infant settings; routine vaccination unchanged.,"Represents outbreak/contact-management support, not broad community PEP."
maternal_direct_antibody_only,Direct infant protection through transplacental antibody transfer only. No adult boosting or close-contact exposure-reduction effect.,Component diagnostic,Not a standalone optimization policy,Newborn passive protection increased; adult boosting and contact-reduction components disabled.,Isolates the direct maternal-antibody pathway within the infant-exposure package.
maternal_adult_boosting_only,Adult or maternal boosting only. No direct infant antibody protection or close-contact exposure reduction. Isolates the contribution of boosted maternal immunity reducing the probability that mothers become infected and transmit to their infants through normal contact.,Component diagnostic,Mechanistic decomposition,Reproductive-age adult boosting enabled; direct newborn antibody and contact-reduction components disabled.,Isolates reduced adult-source infection risk from direct infant antibody protection.
maternal_cocooning_only,Close-contact reduction only. No direct infant antibody protection or adult boosting. Isolates the contribution of reduced infant exposure from household and caregiver contact assumptions.,Component diagnostic,Mechanistic decomposition,Adult-to-infant contact reduction enabled; direct newborn antibody and adult boosting components disabled.,Isolates reduced infant exposure from household/contact assumptions.
resistance_guided_treatment,"Clinic-laboratory-public-health pathway for suspected or confirmed macrolide-resistant pertussis: earlier resistant-strain recognition, improved treatment effect for eligible resistant infections, and more effective resistant-strain PEP. This is a reduced-form scenario, not a drug-specific clinical protocol.",Resistance-management option,Reduced-form proxy,"Clinic-laboratory-public-health pathway: earlier MRBP suspicion and testing, shorter treated resistant infectious duration, lower resistant infectiousness, and improved resistant-strain PEP effectiveness assumed.","Represents resistance-aware clinical recognition, laboratory confirmation, eligible alternative treatment, high-risk-contact PEP, adherence, and surveillance feedback rather than a drug-specific protocol."
transmission_blocking_vaccine,Hypothetical transmission-blocking vaccine target.,Future product target,Hypothetical unavailable product,Onward infectiousness reduction strengthened under future vaccine assumptions; program delivery otherwise follows country profile.,"Product-target scenario for mechanism comparison, not an available policy."
next_generation_vaccine,Hypothetical high-transmission-blocking vaccine target.,Future product target,Hypothetical unavailable product,"Susceptibility, symptom, onward infectiousness, and duration effects strengthened in a high-blocking target profile.",Upper-bound vaccine target used to compare product mechanisms.
combined_strategy,"Combined stress-test profile including transmission-blocking vaccine assumptions, pregnancy Tdap-based infant protection, close-contact adjuncts, adolescent boosting, targeted PEP, and resistance-guided management. The scenario is an upper-bound layering stress test.",Future stress-test package,Non-implementable stress test,"Future vaccine target, infant-exposure package, adolescent booster, targeted PEP, and resistance-guided management combined.",Tests maximum layering logic and should not be interpreted as a single implementable policy package.
