parameter,description,baseline_value,range,unit,source_or_assumption,source_note,used_in_sensitivity_analysis
Analysis horizon,Simulation analysis horizon,8766.0,2027-01-01 to 2050-12-31 in the current analysis,days,Analysis design,"Calendar-defined 2027-01-01 to 2050-12-31 horizon, bounded by the embedded WPP 2024 demographic support; this is an analysis-design choice, not a literature-estimated parameter.",False
Pre-analysis history origin,Fixed calendar origin for historical state reconstruction,2005-01-01,2005-01-01 fixed calendar origin; prospective policy t0=2027-01-01,calendar date,,,False
Saved output interval,Time interval between saved model outputs,7,7 days in production output; calibration saves every 30 days,days,Analysis design,Weekly saved output supports annualised summaries while calibration can use coarser monthly saved output for speed.,False
Production solver relative tolerance,Relative tolerance for the RK45 ODE solver,1e-05,1e-5 production; 1e-4 calibration,unitless,Numerical implementation setting,Production tolerance used by the RK45 solver; calibration uses a slightly looser tolerance for repeated likelihood evaluations.,False
Production solver absolute tolerance,Absolute tolerance for the RK45 ODE solver,1e-07,1e-7 production; 1e-6 calibration,unitless,Numerical implementation setting,Production absolute tolerance used by the RK45 solver; calibration uses a slightly looser tolerance for repeated likelihood evaluations.,False
Sensitive-strain transmission coefficient ($\beta_{\mathrm{sens}}$),Transmission rate for macrolide-sensitive pertussis,0.01,Country-calibrated; bounded calibration support 0.002 to 0.20,per contact day,Calibrated to reported pertussis incidence,Baseline placeholder in the shared configuration; country-specific sensitive-strain transmission coefficients are calibrated to reported surveillance and reported separately in the calibration diagnostics.,False
Relative infectiousness of asymptomatic infection,Relative infectiousness of asymptomatic infection,0.35,Fixed in the submitted primary analysis,ratio,Literature-informed mechanism assumption,Human household evidence does not identify this ratio; it is varied only in dedicated structural diagnostics.,False
Resistant-strain relative fitness ($f_R$),Relative transmission fitness of macrolide-resistant infections,1.0,0.7 to 1.25 (truncated-lognormal support),ratio,Weak surveillance-informed model prior,Baseline is fitness-neutral; surveillance does not separately identify biological transmission fitness.,True
Seasonal forcing amplitude,Annual cosine forcing amplitude,0.18,Fixed in the submitted primary analysis,ratio,Calibrated/processed pertussis incidence,Country profiles override this from circular seasonal concentration of reported cases.,False
Seasonal forcing phase,Day-of-year phase for annual cosine forcing,30,Country-specific processed value when inferred; shared default day 30,day of year,Calibrated/processed pertussis incidence,Country profiles override the shared default when seasonal timing can be inferred from reported-case timing.,False
Inter-epidemic recurrence period,Target/diagnostic inter-epidemic period,4.0,3 to 5 years when country surveillance supports recurrence; otherwise fixed at 4 years,years,Pertussis cycle-model evidence,Country profiles infer 3-5-year periodicity from annual surveillance peaks when visible; otherwise use 4 years.,False
Multi-year recurrence amplitude,Weak multi-year phase-locking amplitude,0.0,Fixed in the submitted primary analysis,ratio,Model-structure assumption,Weak phase-locking is a zero-versus-enabled structural choice rather than a literature-estimated continuous parameter.,False
Multi-year recurrence phase,Phase of optional multi-year recurrence forcing,0,Fixed at 0 in the submitted primary analysis,days,Model-structure assumption,Optional multi-year recurrence phase is fixed in the submitted primary analysis.,False
Latent period,Latent period duration,9.0,4 to 21 days (truncated-lognormal support),days,Interval-censored pertussis incubation evidence,Two outbreak analyses give materially different incubation estimates; their broad synthesis is an explicit proxy for the unobserved latent-period mean.,True
Symptomatic infectious period,Symptomatic infectious duration,24.0,14 to 35 days (truncated-lognormal support),days,SIRWS pertussis model fit,The evidence-prior PSA encodes uncertainty around a fitted 3.7-week mean.,True
Asymptomatic infectious period,Asymptomatic infectious duration,17.3,Derived as 0.2 to 0.999 times the sampled symptomatic duration (beta ratio support),days,Weak model prior,Human studies establish asymptomatic infection but do not identify its duration relative to symptomatic infection.,True
Passive maternal-protection duration,Duration of short-lived maternally derived infant protection,90.0,90 days baseline; 180 days in pregnancy Tdap scale-up; 90 to 270 days in Figure 2c intervention prior,days,Pregnancy-vaccination effectiveness evidence and scenario assumption,Baseline passive maternal-protection duration is short-lived; pregnancy Tdap and Figure 2c intervention priors vary the duration.,False
Post-infection protection duration,Duration of post-infection protection,12227.5,Legacy fallback only; inactive under the submitted SIRWS boosting model,days,Legacy no-boosting fallback,This field is inactive when SIRWS boosting is enabled; active natural-immunity uncertainty is applied to the R-to-W and W-to-S stages.,False
Vaccine-derived protection duration,Duration of vaccine-derived protection proxy,798.0,365 to 2190 days per stage (half of sampled total vaccine-origin protection duration),days,aP waning literature-to-model mapping,This is an explicit duration mapping rather than a directly observed duration distribution.,True
