country,iso3,period_start,period_end,baseline_contact_reduction,contact_reduction_mean,contact_reduction_lower,contact_reduction_upper,ramp_days,evidence_strength,notes
Australia,AUS,2020-03-15,2021-10-31,0.35,0.35,0.15,0.55,180,moderate,Proxy all-setting effective contact reduction for COVID-19 mobility limits school disruption masking and distancing; use sensitivity bounds for policy heterogeneity across states.
Brazil,BRA,2020-03-15,2021-12-31,0.25,0.25,0.10,0.45,180,low,Proxy all-setting effective contact reduction for heterogeneous subnational COVID-19 distancing and mobility changes.
China,CHN,2020-01-23,2022-12-07,0.00,0.65,0.40,0.85,180,moderate,Proxy all-setting effective contact reduction for zero-COVID restrictions lockdowns school disruption masking and mobility limits; sensitivity-only because nonzero values shift the calibrated post-pandemic peak too late.
Japan,JPN,2020-04-07,2021-09-30,0.30,0.30,0.10,0.50,180,moderate,Proxy all-setting effective contact reduction for emergency declarations school disruption masking and voluntary distancing.
New_Zealand,NZL,2020-03-25,2022-09-12,0.00,0.50,0.25,0.75,180,moderate,Proxy all-setting effective contact reduction for elimination-era border controls lockdowns school disruption masking and distancing; sensitivity-only because nonzero values shift the calibrated post-pandemic peak too late.
South_Africa,ZAF,2020-03-27,2021-12-31,0.00,0.40,0.20,0.60,180,moderate,Proxy all-setting effective contact reduction for national lockdown and subsequent COVID-19 restrictions; sensitivity-only because national notification timing is weakly fit by this reduced-form shock.
Sweden,SWE,2020-03-15,2021-09-29,0.20,0.20,0.05,0.40,180,low,Proxy all-setting effective contact reduction for recommendations school and gathering restrictions without generalized lockdown.
Thailand,THA,2020-03-26,2021-10-31,0.35,0.35,0.15,0.60,180,moderate,Proxy all-setting effective contact reduction for emergency restrictions school disruption masking and mobility limits.
United_Kingdom,GBR,2020-03-23,2021-07-19,0.00,0.40,0.20,0.65,180,moderate,Proxy all-setting effective contact reduction for national lockdowns school closures distancing and masking; sensitivity-only in baseline calibration because nonzero values worsen interval fit.
United_States,USA,2020-03-15,2021-06-30,0.35,0.35,0.15,0.60,180,low,Proxy all-setting effective contact reduction for heterogeneous state-level COVID-19 restrictions school disruption masking and distancing.
