country,iso3,year,sample_size,resistant_fraction,lower,upper,evidence_type,source,notes
China,CHN,2016,11.0,0.364,0.28,0.45,measured_regional_isolate_fraction,https://wwwnc.cdc.gov/eid/article/30/1/22-1588_article,Shanghai isolate series; 4/11 selected 2016 isolates were macrolide resistant.
China,CHN,2022,72.0,0.972,0.94,0.99,measured_regional_isolate_fraction,https://wwwnc.cdc.gov/eid/article/30/1/22-1588_article,Shanghai isolate series; 70/72 selected 2022 isolates were macrolide resistant.
China,CHN,2024,394.0,0.997,0.986,1.0,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.
Australia,AUS,2024,188.0,0.043,0.019,0.082,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).
New_Zealand,NZL,1995,88.0,0.0,0.0,0.041,measured_historical_national_isolate_fraction,https://pubmed.ncbi.nlm.nih.gov/9579709/,"ESR national reference laboratory series from 1991-1995: 88 strains tested, with erythromycin MICs 0.12-0.5 mg/L. A later meta-analysis tabulates this study as 0/88 resistant isolates."
New_Zealand,NZL,2025,,0.01,0.0,0.05,low_detected_model_anchor,https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/communicable-disease-control-manual/pertussis,"Health New Zealand notes MRBP has been detected by PHF Science and is being assessed; no public national fraction was located, so use a low detected/imported anchor pending surveillance."
United_Kingdom,GBR,2009,583.0,0.0,0.0,0.006,measured_historical_national_isolate_fraction,https://researchportal.ukhsa.gov.uk/en/publications/antimicrobial-susceptibility-testing-of-historical-and-recent-cli/,"UK enhanced-surveillance isolates collected from 2001-2009: all 583 isolates were fully susceptible to erythromycin, clarithromycin, and azithromycin."
United_Kingdom,GBR,2024,661.0,0.003,0.0,0.011,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates."
United_States,USA,1997,47.0,0.021,0.001,0.113,measured_regional_isolate_fraction,https://pubmed.ncbi.nlm.nih.gov/9350776/,Intermountain West pediatric isolates recovered from January 1985 to June 1997; 1/47 was erythromycin resistant (MIC 32 ug/mL).
United_States,USA,2015,1208.0,0.0,0.0,0.003,measured_multistate_surveillance_fraction,https://www.walshmedicalmedia.com/conference-abstracts-files/2155-9597.C1.016-015.pdf,"CDC surveillance abstract: 1208 B. pertussis isolates collected from 2011-2015 across 7 enhanced-surveillance states, 2 outbreak states, and 6 sporadic-state settings were susceptible to erythromycin and azithromycin; 54 DNA NPS extracts had no A2047G mutation."
Japan,JPN,2024,8.0,0.875,0.473,0.997,measured_regional_case_series_fraction,https://www.sciencedirect.com/science/article/pii/S1341321X26000140,"Osaka case series, August 2024-January 2025; 7/8 analyzed B. pertussis strains were macrolide resistant."
Japan,JPN,2025,52.0,0.827,0.697,0.918,measured_multicenter_isolate_fraction,https://www.mdpi.com/2227-9059/14/1/167,"Japanese children at six clinics, March-August 2025; 43/52 sequenced B. pertussis isolates carried the A2047G mutation associated with macrolide resistance."
Sweden,SWE,2025,,0.01,0.0,0.05,low_imported_model_anchor,https://www.folkhalsomyndigheten.se/contentassets/975cc036216b48a39b7bf34319d4ecee/pertussis-surveillance-sweden-23rd-annual-report.pdf,"No public Swedish MRBP prevalence estimate was located in the accessible national surveillance material, so keep a conservative low anchor pending numeric reporting."
Brazil,BRA,2025,,0.01,0.0,0.05,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting."
Thailand,THA,2025,,0.01,0.0,0.05,low_imported_model_anchor,https://www.cdc.gov/pertussis/hcp/antibiotic-resistance/index.html,"No public Thailand-specific MRBP prevalence estimate was located in accessible surveillance material; CDC notes increasing MRBP globally, so keep a conservative low imported anchor pending numeric reporting."
South_Africa,ZAF,2025,,0.02,0.005,0.05,global_surveillance_extrapolation,https://www.cdc.gov/pertussis/hcp/antibiotic-resistance/index.html and https://www.mdpi.com/2079-6382/11/11/1570,No South Africa-specific MRBP isolate data published. CDC (2025) notes global MRBP spread primarily from China; PAHO (2025) reports cases in Americas. Systematic review (Antibiotics 2022;11:1570) confirms sporadic cases outside China. No African MRBP reports in accessible literature. Conservative low anchor retained with slightly elevated point estimate reflecting global importation risk.
