country,iso3,period_start,period_end,geographic_scope,surveillance_regime,primary_diagnostic_methods,case_definition_or_reporting_change,relative_detection_prior_mean,relative_detection_prior_lower,relative_detection_prior_upper,effect_direction,evidence_strength,source_ids,notes
Australia,AUS,1991-01-01,2006-12-31,national,pre_pcr_dominant_notifications,culture;serology;clinical,"PCR was not yet dominant; recognition, testing volume, and serology affected notifications.",0.75,0.55,1.05,lower_than_pcr_era,moderate,AUS_PCR_2016;AUS_ACT_2007,"Use wide bounds because jurisdictional evidence documents both improved detection and false-positive serology concerns."
Australia,AUS,2007-01-01,2012-12-31,national,pcr_transition,PCR;serology;culture,"After 1 Jan 2007 most notifications were PCR-based; adult serology remained common.",1.10,0.85,1.40,increased_detection,high,AUS_PCR_2016;AUS_REVIEW_2014,"Transition period should be treated as a reporting-regime shift rather than pure transmission."
Australia,AUS,2013-01-01,2026-12-31,national,pcr_dominant_with_adult_serology,PCR;serology;culture,"PCR-based notifications had largely replaced other methods by 2013, except adult serology.",1.00,0.85,1.25,reference_modern,high,AUS_PCR_2016,"Modern reference regime for Australian notification data."
Brazil,BRA,2007-01-01,2014-12-31,national,passive_mixed_clinical_epi_lab,clinical;epidemiologic_link;culture;PCR,"Confirmed cases used clinical, epidemiologic, and laboratory criteria; laboratory confirmation was a minority-to-moderate share.",0.90,0.55,1.25,mixed_uncertain,moderate,BRAZIL_RETRO_2015,"Clinical criteria can increase sensitivity but reduce comparability with laboratory-confirmed series."
Brazil,BRA,2015-01-01,2023-12-31,national,molecular_availability_expanding,culture;qPCR;clinical,"Regional laboratories documented culture and qPCR use, but national molecular coverage was uneven.",1.00,0.65,1.35,mixed_uncertain,low,BRAZIL_QPCR_2017;BRAZIL_RETRO_2015,"Keep prior broad because evidence is regional rather than a national laboratory denominator."
Brazil,BRA,2024-01-01,2026-12-31,national,post_resurgence_alert_enhanced_awareness,PCR;culture;clinical,"Recent regional alerts for pertussis and resistant pertussis likely increased awareness and testing.",1.15,0.75,1.60,increased_detection,low,PAHO_MRBP_2025;WHO_SURV_2023,"Use only as a sensitivity prior unless national testing denominators become available."
China,CHN,2004-01-01,2016-12-31,national,passive_nndrs_clinical_plus_lab,clinical;culture;PCR;serology,"NNDRS counts include clinically diagnosed and laboratory-confirmed cases; laboratory capacity and testing criteria varied.",0.80,0.50,1.20,lower_detection_or_specificity_mixed,moderate,CHINA_NNDRS_2024;CHINA_TRENDS_2023,"Pre-2017 data should not be forced onto the same observation scale as later laboratory-driven reports."
China,CHN,2017-01-01,2019-12-31,national,lab_confirmation_guideline_period,serology;PCR;culture,"Guideline implementation requiring serology/PCR laboratory confirmation in some settings likely increased specificity and affected notification levels.",0.90,0.60,1.20,increased_specificity,moderate,CHINA_CHONGQING_2025,"Direction can vary by province; this is a national prior proxy."
China,CHN,2020-01-01,2020-06-30,national,covid_lockdown_suppressed_healthcare_seeking,clinical;PCR;culture,"Strict COVID-19 lockdowns dramatically reduced healthcare-seeking for non-emergency respiratory illness. Hospital outpatient visits dropped 40-60% nationally during peak lockdown periods.",0.25,0.10,0.50,reduced_healthcare_seeking,high,CHINA_COVID_HEALTH_SEEKING_2021;CHINA_NHC_STATS_2020,"Pertussis is primarily diagnosed in outpatient settings; lockdown-driven avoidance of hospitals is the dominant explanation for the 2020 case drop."
China,CHN,2020-07-01,2021-12-31,national,covid_ongoing_reduced_attendance,clinical;PCR;culture,"Ongoing COVID-19 measures continued to suppress non-emergency healthcare attendance, though less severely than peak lockdown. Periodic regional lockdowns maintained reduced healthcare-seeking.",0.50,0.30,0.75,reduced_healthcare_seeking,moderate,CHINA_COVID_HEALTH_SEEKING_2021,"Gradual recovery of healthcare attendance but still substantially below pre-COVID baseline."
China,CHN,2022-01-01,2023-12-31,national,post_zero_covid_recovery,serology;PCR;culture,"Post zero-COVID policy relaxation (Dec 2022) with gradual recovery of healthcare attendance and diagnostic capacity. Pertussis awareness increasing due to rising case reports.",0.90,0.60,1.20,recovery_to_baseline,moderate,CHINA_CHONGQING_2025,"Transition period as healthcare system returns to normal operations."
China,CHN,2024-01-01,2024-03-31,national,early_resurgence_passive,clinical;PCR;culture;serology,"Large resurgence occurred before documented late-March enhanced active PCR screening became widespread. Heightened awareness already increasing detection.",2.00,1.00,3.50,increased_awareness,moderate,CHINA_REPORTED_2024;CHINA_RESURGENCE_2024,"Represents early outbreak awareness with partial active screening rollout."
China,CHN,2024-04-01,2026-12-31,national,enhanced_pcr_screening_resurgence,active_PCR_screening;culture;genomic_follow_up,"Multicentre evidence reports enhanced active PCR screening from late March 2024 among medically attended children. The multiplier is restricted to medically attended testing and reporting changes; pandemic-era contact effects are represented separately in the transmission-layer NPI timeline.",2.25,1.20,3.50,increased_detection,high,CHINA_2024_MULTICENTER;CHINA_YIWU_ACTIVE,"Detection-only prior for active screening and heightened clinical awareness relative to the model's baseline passive reporting rate."
Japan,JPN,1997-01-01,2016-10-31,national,pediatric_sentinel_clinical,clinical_sentinel;culture;limited_serology,"Pediatric sentinel reporting misses adult disease; NAAT was not yet widely introduced.",0.65,0.40,0.95,lower_detection,high,JAPAN_IASR_2019;JAPAN_LAB_2016,"Combines age-coverage and laboratory-method discontinuity."
Japan,JPN,2016-11-01,2017-12-31,national,lamp_transition,LAMP;PCR;culture;serology,"LAMP became covered by insurance in Nov 2016 before all-facility notification began.",0.90,0.60,1.25,increased_detection,moderate,JAPAN_IASR_2019,"Short transition interval."
Japan,JPN,2018-01-01,2026-12-31,national,all_facility_lab_supported_notification,clinical_plus_lab_confirmation;LAMP;PCR;culture;serology,"All cases were notified from all medical facilities, with laboratory diagnosis required as a rule.",1.30,0.90,1.75,increased_detection_and_specificity,high,JAPAN_IASR_2019,"Do not compare pre-2018 sentinel counts to post-2018 all-facility counts without an observation-regime term."
New_Zealand,NZL,1996-01-01,1996-12-31,national,newly_notifiable_pre_pcr,clinical;culture,"Pertussis became nationally notifiable; PCR diagnosis was not yet generally available.",0.70,0.45,1.05,lower_detection,moderate,NZ_LIFE_THREATENING_2016;NZ_IMMUNISATION_HANDBOOK,"Single-year startup period."
New_Zealand,NZL,1997-01-01,2016-12-31,national,pcr_available_passive,PCR;culture;serology,"PCR diagnosis became available from 1997 in the context of passive national surveillance.",1.00,0.70,1.35,reference_mixed,moderate,NZ_LIFE_THREATENING_2016;NZ_IMMUNISATION_HANDBOOK,"Reference mixed diagnostic regime for historical NZ data."
New_Zealand,NZL,2017-01-01,2026-12-31,national,pcr_preferred_serology_discouraged,PCR_preferred;culture_not_routine;serology_restricted,"PCR is recommended; most laboratories do not offer pertussis serology, and culture is not routine.",0.95,0.65,1.30,increased_specificity_possible_lower_late_detection,moderate,NZ_HEALTH_GUIDANCE;NZMN_2017,"Could reduce late adult detection while improving specificity."
South_Africa,ZAF,2000-01-01,2011-12-31,national,passive_limited_lab,clinical;limited_laboratory,"Reliable national burden data were limited before sentinel PCR evidence.",0.55,0.30,0.90,lower_detection,low,SA_NICD_GUIDELINE_2017,"Use as a broad passive-surveillance prior."
South_Africa,ZAF,2012-01-01,2018-12-31,sentinel_and_national,sentinel_pcr_active_hospital_surveillance,PCR;culture;passive_notification,"Sentinel hospital severe respiratory illness surveillance tested specimens by PCR; national notification remained passive.",0.80,0.45,1.20,increased_detection_sentinel,moderate,SA_CID_2021;SA_RISK_2018,"The sentinel component informs under-ascertainment but is not a direct national case-count multiplier."
South_Africa,ZAF,2019-01-01,2026-12-31,national,nmc_notification_with_pcr_capacity,approved_lab_diagnostics;PCR;clinical_notification,"Pertussis is a notifiable medical condition and PCR-based sentinel/genomic workflows are available.",0.90,0.50,1.35,moderate_detection,low,SA_NMC_REGS;SA_GENOMIC_2023,"Recent national reports may still substantially under-ascertain non-hospitalized disease."
Sweden,SWE,1997-10-01,2007-12-31,national,lab_reported_surveillance,culture;PCR;serology,"Post-vaccine-restart surveillance used culture/PCR/serology reporting; PCR added detections beyond culture in Swedish studies.",1.00,0.75,1.35,reference_lab_based,high,SWEDEN_HALLANDER_1999;SWEDEN_10YEAR_2009,"Laboratory regime is comparatively stable but testing volume can still vary."
Sweden,SWE,2008-01-01,2026-12-31,national,established_lab_surveillance,PCR;culture;serology,"Established laboratory-based pertussis surveillance after the first post-vaccine decade.",1.00,0.75,1.30,reference_lab_based,moderate,SWEDEN_INFANT_2015;ECDC_LAB_2022,"No strong national step-change encoded after 2008 without further testing-denominator data."
Thailand,THA,2000-01-01,2022-12-31,national,passive_limited_adult_lab,clinical;limited_culture_or_PCR,"Adult pertussis was underrecognized and culture/PCR were often unavailable.",0.55,0.30,0.90,lower_detection,high,THAILAND_ADULT_2016,"Use a strong under-ascertainment prior for historical passive national data."
Thailand,THA,2023-09-01,2024-05-31,southern_outbreak,enhanced_outbreak_case_definition,RT-PCR;clinical_outbreak_definition,"Narathiwat high-epidemic definition used cough >=1 week, compared with the national cough >=2 week definition, and was evaluated against RT-PCR.",1.45,0.95,2.10,increased_detection,high,THAILAND_OSIR_2025,"Geographically concentrated; do not apply nationally without down-weighting or a region-scope covariate."
Thailand,THA,2024-06-01,2026-12-31,national,post_outbreak_heightened_awareness,PCR;clinical,"Southern outbreak surveillance and modelling likely raised awareness, but national extrapolation is uncertain.",1.10,0.60,1.70,increased_awareness_uncertain,low,THAILAND_MODEL_2025;THAILAND_OSIR_2025,"Use as broad sensitivity only."
United_Kingdom,GBR,1998-01-01,2001-06-30,national,notification_plus_limited_lab,clinical_notification;culture,"Before national serology and PCR supplementation of pertussis laboratory confirmations.",0.70,0.45,1.00,lower_detection,moderate,UK_EID_2012,"Historical notification series is not directly comparable with enhanced lab era."
United_Kingdom,GBR,2001-07-01,2009-12-31,national,enhanced_lab_introduction,serology_from_2001_07;PCR_from_2001_11;culture;oral_fluid,"Serology and PCR were added nationally; adolescent/adult confirmations rose without matching hospitalization increases.",1.20,0.85,1.60,increased_detection,high,UK_EID_2012;UK_LAB_2002,"This is a classic diagnostic-era discontinuity."
United_Kingdom,GBR,2010-01-01,2026-12-31,national,enhanced_lab_surveillance,culture;PCR;serology;oral_fluid,"Established enhanced surveillance with culture, PCR, serology, or oral-fluid confirmations.",1.00,0.75,1.35,reference_modern,moderate,UK_GOV_2014;UK_EID_2012,"Modern reference regime for UK data."
United_States,USA,1997-01-01,2013-12-31,national,cste_1997_pcr_culture_clinical,culture;PCR;epidemiologic_link;clinical_probable,"CSTE definition included PCR/culture, but PCR adoption and testing practice grew over time.",0.85,0.60,1.15,lower_than_modern,moderate,US_CDC_1997_DEF;US_EPS_2015,"Use broad bounds because state laboratory practices varied."
United_States,USA,2014-01-01,2019-12-31,national,cste_2014_definition,culture;PCR;clinical_criteria;infant_apnea_criterion,"2014 case definition before the 2020 expansion.",0.92,0.70,1.15,reference_pre2020,high,US_CDC_2014_DEF,"Relative to post-2020 CSTE definition, expected reports are slightly lower."
United_States,USA,2020-01-01,2026-12-31,national,cste_2020_definition,culture;PCR;shorter_cough_duration_for_lab_confirmed,"The 2020 CSTE change allowed broader lab-confirmed reporting and was estimated to increase reported cases by nearly 10 percent.",1.10,0.95,1.30,increased_detection,high,US_CSTE_2024;US_CDC_MANUAL_2024,"Important for comparisons across the 2020 boundary."
