psa_sample_id,sample_design,uncertainty_schema_version,resistance_management_uptake,resistance_management_pep_reach_multiplier
1,latin_hypercube_inverse_cdf_resistance_management,1,0.5765218449500659,0.8336747341470181
2,latin_hypercube_inverse_cdf_resistance_management,1,0.8434088723949567,0.9031615678399958
3,latin_hypercube_inverse_cdf_resistance_management,1,0.8417145399939868,0.9796207273742525
4,latin_hypercube_inverse_cdf_resistance_management,1,0.8075697718214085,0.823865397665672
5,latin_hypercube_inverse_cdf_resistance_management,1,0.7572951835611286,0.6746433462571977
6,latin_hypercube_inverse_cdf_resistance_management,1,0.7842590755438849,0.5764786338600221
7,latin_hypercube_inverse_cdf_resistance_management,1,0.6463076401047192,0.7317713454094468
8,latin_hypercube_inverse_cdf_resistance_management,1,0.8323716985407819,0.783644626417012
9,latin_hypercube_inverse_cdf_resistance_management,1,0.9148469684781503,0.7366184558782087
10,latin_hypercube_inverse_cdf_resistance_management,1,0.6030829557469323,0.5024927388852911
11,latin_hypercube_inverse_cdf_resistance_management,1,0.7259563777886207,0.7722238202651295
12,latin_hypercube_inverse_cdf_resistance_management,1,0.7817448663783119,0.6087243568801631
13,latin_hypercube_inverse_cdf_resistance_management,1,0.8676203825434634,0.5198562795832322
14,latin_hypercube_inverse_cdf_resistance_management,1,0.7929287716546343,0.9140633869220545
15,latin_hypercube_inverse_cdf_resistance_management,1,0.8921032304889017,0.7627355638664608
16,latin_hypercube_inverse_cdf_resistance_management,1,0.8030654910686551,0.6712054094960959
17,latin_hypercube_inverse_cdf_resistance_management,1,0.7902777000162469,0.5675368911181986
18,latin_hypercube_inverse_cdf_resistance_management,1,0.7154388745617866,0.5251931134964642
19,latin_hypercube_inverse_cdf_resistance_management,1,0.5912235738806874,0.5792547280737174
20,latin_hypercube_inverse_cdf_resistance_management,1,0.5447963957330801,0.8602194037857651
21,latin_hypercube_inverse_cdf_resistance_management,1,0.8525744500830833,0.9586965584553664
22,latin_hypercube_inverse_cdf_resistance_management,1,0.5663816625856011,0.9866765390981571
23,latin_hypercube_inverse_cdf_resistance_management,1,0.7514235837425234,0.6160154765930056
24,latin_hypercube_inverse_cdf_resistance_management,1,0.8615249682157989,0.7921360240568756
25,latin_hypercube_inverse_cdf_resistance_management,1,0.6559423936565167,0.6663783898791488
26,latin_hypercube_inverse_cdf_resistance_management,1,0.7670748526730717,0.7499324307289204
27,latin_hypercube_inverse_cdf_resistance_management,1,0.89870210054029,0.558646365437138
28,latin_hypercube_inverse_cdf_resistance_management,1,0.7894402682988192,0.9670401516608094
29,latin_hypercube_inverse_cdf_resistance_management,1,0.6651067719696773,0.6568570762702065
30,latin_hypercube_inverse_cdf_resistance_management,1,0.6935245349036261,0.7522446602000834
31,latin_hypercube_inverse_cdf_resistance_management,1,0.812128519876508,0.5160287211342872
32,latin_hypercube_inverse_cdf_resistance_management,1,0.7387759578806135,0.5412315312711289
33,latin_hypercube_inverse_cdf_resistance_management,1,0.5462573951239001,0.6263446106801401
34,latin_hypercube_inverse_cdf_resistance_management,1,0.7023084275912739,0.8805641845953452
35,latin_hypercube_inverse_cdf_resistance_management,1,0.6404972216909856,0.9819649360682916
36,latin_hypercube_inverse_cdf_resistance_management,1,0.9405623991777461,0.9201595481925213
37,latin_hypercube_inverse_cdf_resistance_management,1,0.8693153143130294,0.729790910385992
38,latin_hypercube_inverse_cdf_resistance_management,1,0.8629054298448811,0.8551522352035104
39,latin_hypercube_inverse_cdf_resistance_management,1,0.6492100736576844,0.801174052117303
40,latin_hypercube_inverse_cdf_resistance_management,1,0.8952608354025464,0.9115822051517775
41,latin_hypercube_inverse_cdf_resistance_management,1,0.8261561078528983,0.5367912322790752
42,latin_hypercube_inverse_cdf_resistance_management,1,0.5633853537304967,0.7595684940445326
43,latin_hypercube_inverse_cdf_resistance_management,1,0.773815235906165,0.5962216104918131
44,latin_hypercube_inverse_cdf_resistance_management,1,0.5828517609906589,0.9569429666864888
45,latin_hypercube_inverse_cdf_resistance_management,1,0.7850177877461615,0.6019016037556758
46,latin_hypercube_inverse_cdf_resistance_management,1,0.6516139332911771,0.6954030194510391
47,latin_hypercube_inverse_cdf_resistance_management,1,0.7748343784846441,0.9924592454079972
48,latin_hypercube_inverse_cdf_resistance_management,1,0.734111058427168,0.71715549157618
49,latin_hypercube_inverse_cdf_resistance_management,1,0.8146683003477699,0.9479104105096564
50,latin_hypercube_inverse_cdf_resistance_management,1,0.4669852576158159,0.6936761148294966
51,latin_hypercube_inverse_cdf_resistance_management,1,0.72839166775193,0.7394104268735779
52,latin_hypercube_inverse_cdf_resistance_management,1,0.6336905084111385,0.5992512946275431
53,latin_hypercube_inverse_cdf_resistance_management,1,0.7076478448565009,0.5321350727586296
54,latin_hypercube_inverse_cdf_resistance_management,1,0.510579154800937,0.6374482318753362
55,latin_hypercube_inverse_cdf_resistance_management,1,0.5948709025096316,0.5449498743323934
56,latin_hypercube_inverse_cdf_resistance_management,1,0.8218614024545511,0.7558376455065824
57,latin_hypercube_inverse_cdf_resistance_management,1,0.7429220201651292,0.6603365581871317
58,latin_hypercube_inverse_cdf_resistance_management,1,0.6728079259331862,0.7034660474616605
59,latin_hypercube_inverse_cdf_resistance_management,1,0.7533004479968151,0.5072886508351703
60,latin_hypercube_inverse_cdf_resistance_management,1,0.8369126789897046,0.5585357508881004
61,latin_hypercube_inverse_cdf_resistance_management,1,0.6801148585388439,0.5137056029519677
62,latin_hypercube_inverse_cdf_resistance_management,1,0.6609103853448777,0.7082158350404393
63,latin_hypercube_inverse_cdf_resistance_management,1,0.6097670830342019,0.6819296188585997
64,latin_hypercube_inverse_cdf_resistance_management,1,0.6142753297715524,0.6903089468027177
65,latin_hypercube_inverse_cdf_resistance_management,1,0.5888532079982907,0.8001214500995459
