formula_or_model_block,parameter_or_setting,value_used,code_location,evidence_or_rationale,sensitivity_or_supplement_link
Analysis horizon,Analysis window,"2025-01-01 to 2050-12-31; summaries annualised over saved interval","config/model_settings.yaml: simulation; src_python/model/outputs.py::summarize_timeseries","Analysis-design choice for post-COVID-19 projection horizon","eTable 2; eTable 9"
Analysis horizon,Burn-in duration,15 years,"config/model_settings.yaml: simulation.burn_in_years; src_python/model/outputs.py::solve_model","Reduces dependence on arbitrary initial infection and immunity state","eTable 9; temporal sensitivity diagnostics"
State space,Age groups,8 age groups from 0-2 months to 65+ years,"src_python/model/compartments.py; config/model_settings.yaml: age_groups","Age partition chosen to distinguish pre-primary-series infants, children, adolescents, and adults","eTable 9"
State space,Dynamic compartments,"74 per age group; 592 total state variables","src_python/model/compartments.py","Explicit susceptible-origin, exposed, infectious, treated, recovered, and waned-natural-immunity states","eTable 9"
Natural history,Latent duration,8 days,"config/model_settings.yaml: natural_history.latent_duration; src_python/model/parameters.py","CDC-aligned incubation/latent-period assumption","eTable 5"
Natural history,Symptomatic infectious duration,21 days,"config/model_settings.yaml: natural_history.infectious_duration_symptomatic","CDC-aligned infectious window through approximately third week after paroxysm onset","eTable 5; global sensitivity"
Natural history,Asymptomatic infectious duration,14 days,"config/model_settings.yaml: natural_history.infectious_duration_asymptomatic","Literature-informed modelling assumption shorter than symptomatic infection","eTable 5; global sensitivity"
Natural history,Maternal-protection duration,90 days baseline; 180 days in pregnancy Tdap scale-up,"config/model_settings.yaml: natural_history.maternal_protection_duration; intervention_scenarios","Pregnancy-vaccination effectiveness evidence and scenario-defined scale-up","eTable 4; maternal duration sensitivity"
Vaccine waning,Vaccine recent-to-waned duration,1825 days,"config/model_settings.yaml: natural_history.vaccine_protection_duration","Acellular-pertussis waning evidence","eTable 5"
Vaccine waning,Waned vaccine loss duration,3650 days,"config/model_settings.yaml: immunity_model.waned_vaccine_duration; src_python/model/parameters.py","Residual protection represented as slower waned-origin loss","eTable 5; global sensitivity"
Natural immunity,SIRWS R-to-W transition,1825 days,"config/model_settings.yaml: natural_history.R_to_W_duration; src_python/model/ode_system.py","Pertussis waning and immune-boosting model structure","eTable 9"
Natural immunity,SIRWS W-to-S transition,3650 days,"config/model_settings.yaml: natural_history.W_to_S_duration; src_python/model/ode_system.py","Allows immunity debt when circulation is low and boosting is absent","eTable 9"
Natural immunity,Boosting efficiency,0.70,"config/model_settings.yaml: immunity_model.boosting_efficiency; src_python/model/ode_system.py","Reduced SIRWS immune-boosting assumption","eTable 9"
Natural immunity,Waned-natural infection susceptibility,0.35,"config/model_settings.yaml: immunity_model.waned_natural_infection_susceptibility; src_python/model/ode_system.py","Breakthrough-infection susceptibility for W state after failed boosting","eMethods SIRWS formula"
Vaccine origin weights,Waned relative effect,0.35,"config/model_settings.yaml: immunity_model.waned_relative_effect; src_python/model/vaccination.py","Represents residual protection after waning","eTable 5; vaccine-origin diagnostics"
Vaccine origin weights,Maternal relative effect,0.75,"config/model_settings.yaml: immunity_model.maternal_relative_effect; src_python/model/vaccination.py","Maps maternal-origin protection into vaccine mechanism weights","eTable 5"
Vaccine origin weights,Dose-1 relative effect,0.45,"config/model_settings.yaml: immunity_model.dose1_relative_effect; src_python/model/vaccination.py","Partial-dose protection proxy","eTable 5"
