country,selected_input_setting,locked_reference_strategy,setting_specific_winning_strategy,reference_choice_retained,current_practice_cases_per_100k,locked_reference_strategy_cases_per_100k,setting_specific_best_cases_per_100k,fixed_reference_regret_cases_per_100k,fixed_reference_regret_relative_to_current,fixed_reference_regret_percentage_points,figure2_parent_bundle_sha256
Australia,1,timeliness_only,timeliness_only,TRUE,748.1200508348447,650.1331824118749,650.1331824118749,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,2,timeliness_only,timeliness_only,TRUE,1223.1386480228196,1037.855023536683,1037.855023536683,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,3,timeliness_only,timeliness_only,TRUE,1347.5798381494562,1157.1550364641278,1157.1550364641278,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,4,timeliness_only,timeliness_only,TRUE,1431.531376931358,1206.5379783741269,1206.5379783741269,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,5,timeliness_only,timeliness_only,TRUE,1592.0731434220006,1348.7817531105318,1348.7817531105318,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,6,timeliness_only,timeliness_only,TRUE,887.5025074697758,648.0910039496036,648.0910039496036,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,7,timeliness_only,timeliness_only,TRUE,909.2849274337844,658.4831361725128,658.4831361725128,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,8,timeliness_only,timeliness_only,TRUE,1217.005060883092,1021.0009486265196,1021.0009486265196,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,9,timeliness_only,timeliness_only,TRUE,1218.1486863396156,1009.2677164945084,1009.2677164945084,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,10,timeliness_only,timeliness_only,TRUE,1240.130997260241,1087.1609844425172,1087.1609844425172,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,11,timeliness_only,timeliness_only,TRUE,1288.588557968866,1123.8841135589655,1123.8841135589655,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,12,timeliness_only,timeliness_only,TRUE,1084.9110155499782,956.359551750024,956.359551750024,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,13,timeliness_only,timeliness_only,TRUE,1042.4216019731075,918.488866089956,918.488866089956,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,14,timeliness_only,timeliness_only,TRUE,1235.9706365277862,1071.4597962737837,1071.4597962737837,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,15,timeliness_only,timeliness_only,TRUE,1399.961984899194,1152.3389666836397,1152.3389666836397,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,16,timeliness_only,timeliness_only,TRUE,1283.2270977611656,1106.5824966386915,1106.5824966386915,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,17,timeliness_only,timeliness_only,TRUE,1657.436895101454,1416.5564619178306,1416.5564619178306,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,18,timeliness_only,timeliness_only,TRUE,1147.0177850376938,985.3937747345266,985.3937747345266,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,19,timeliness_only,timeliness_only,TRUE,1166.8370095830228,918.7336390518208,918.7336390518208,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,20,timeliness_only,timeliness_only,TRUE,1045.883939819047,861.5855929918313,861.5855929918313,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,21,timeliness_only,timeliness_only,TRUE,1294.6016429784618,1107.2624703383908,1107.2624703383908,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,22,timeliness_only,timeliness_only,TRUE,948.2335533158108,735.9621002718638,735.9621002718638,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,23,timeliness_only,timeliness_only,TRUE,634.3506118596082,531.1936092147048,531.1936092147048,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,24,timeliness_only,timeliness_only,TRUE,846.4290120228821,698.1512055331975,698.1512055331975,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,25,timeliness_only,timeliness_only,TRUE,645.177993582425,537.6848022054828,537.6848022054828,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,26,timeliness_only,timeliness_only,TRUE,1455.8348578236184,1262.6964229258494,1262.6964229258494,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,27,timeliness_only,timeliness_only,TRUE,1637.722940001187,1374.0978919320512,1374.0978919320512,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,28,timeliness_only,timeliness_only,TRUE,1462.8228942756857,1269.6695257860551,1269.6695257860551,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,29,timeliness_only,timeliness_only,TRUE,1474.6687986039972,1245.5264561299705,1245.5264561299705,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,30,timeliness_only,timeliness_only,TRUE,555.3946609962051,366.4002560330974,366.4002560330974,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,31,timeliness_only,timeliness_only,TRUE,1376.6667072405728,1177.3698033777864,1177.3698033777864,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,32,timeliness_only,timeliness_only,TRUE,1178.2253168152413,1016.2917856302377,1016.2917856302377,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,33,timeliness_only,timeliness_only,TRUE,1558.4148714311507,1343.6436318784329,1343.6436318784329,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,34,timeliness_only,timeliness_only,TRUE,1036.2880569603049,897.6004376689871,897.6004376689871,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,35,timeliness_only,timeliness_only,TRUE,1110.6606561437939,962.5171895131205,962.5171895131205,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,36,timeliness_only,timeliness_only,TRUE,1152.5207610718296,962.9122830360226,962.9122830360226,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,37,timeliness_only,timeliness_only,TRUE,1314.7672998982368,1105.596707687777,1105.596707687777,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,38,timeliness_only,timeliness_only,TRUE,1213.699103367181,1043.7926848371262,1043.7926848371262,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,39,timeliness_only,timeliness_only,TRUE,1485.5988279963146,1279.9139184756257,1279.9139184756257,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,40,timeliness_only,timeliness_only,TRUE,1300.2539391269281,1075.550774254857,1075.550774254857,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,41,timeliness_only,timeliness_only,TRUE,1394.7606369234454,1160.8992542587991,1160.8992542587991,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,42,timeliness_only,timeliness_only,TRUE,1252.1839199744995,1071.23112988988,1071.23112988988,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,43,timeliness_only,timeliness_only,TRUE,1410.056299650213,1170.792087079602,1170.792087079602,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,44,timeliness_only,timeliness_only,TRUE,1586.3633760906168,1323.5496578277312,1323.5496578277312,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,45,timeliness_only,timeliness_only,TRUE,1519.2773743448465,1298.614360611074,1298.614360611074,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,46,timeliness_only,timeliness_only,TRUE,1106.6321694730686,873.7550551640916,873.7550551640916,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,47,timeliness_only,timeliness_only,TRUE,1028.3880494272873,889.5937569274868,889.5937569274868,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,48,timeliness_only,timeliness_only,TRUE,1284.531739307739,1072.6081376628174,1072.6081376628174,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,49,timeliness_only,timeliness_only,TRUE,1501.285597341103,1293.5994920633602,1293.5994920633602,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,50,timeliness_only,timeliness_only,TRUE,1351.8356339825814,1142.3472139262833,1142.3472139262833,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,51,timeliness_only,timeliness_only,TRUE,976.361807037652,814.0196435150309,814.0196435150309,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,52,timeliness_only,timeliness_only,TRUE,1060.2547835037287,899.1084726959194,899.1084726959194,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,53,timeliness_only,timeliness_only,TRUE,1544.8614502196974,1309.2224789562615,1309.2224789562615,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,54,timeliness_only,timeliness_only,TRUE,1183.3361580484852,918.5179090129052,918.5179090129052,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,55,timeliness_only,timeliness_only,TRUE,817.0339593562721,632.354008439561,632.354008439561,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,56,timeliness_only,timeliness_only,TRUE,1178.7598451675312,937.5352748866288,937.5352748866288,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,57,timeliness_only,timeliness_only,TRUE,772.9910607584945,657.1188515434693,657.1188515434693,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,58,timeliness_only,timeliness_only,TRUE,1353.6449389434006,1178.604855480594,1178.604855480594,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,59,timeliness_only,timeliness_only,TRUE,1004.9397508990652,852.0057683679001,852.0057683679001,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,60,timeliness_only,timeliness_only,TRUE,1553.3030552378684,1329.341722786744,1329.341722786744,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,61,timeliness_only,timeliness_only,TRUE,1142.63219352926,966.6184368142526,966.6184368142526,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,62,timeliness_only,timeliness_only,TRUE,1163.657249439301,994.4580086591734,994.4580086591734,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,63,timeliness_only,timeliness_only,TRUE,1231.457669265998,1063.228737212758,1063.228737212758,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,64,timeliness_only,timeliness_only,TRUE,1269.0600416881236,1079.9687262410007,1079.9687262410007,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,65,timeliness_only,timeliness_only,TRUE,1370.2184105704573,1164.0037599455768,1164.0037599455768,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,66,timeliness_only,timeliness_only,TRUE,1527.8895625019752,1295.7293467411578,1295.7293467411578,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,67,timeliness_only,timeliness_only,TRUE,1632.0839963414937,1395.182775675009,1395.182775675009,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,68,timeliness_only,timeliness_only,TRUE,1453.7219859846198,1208.9322947361009,1208.9322947361009,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,69,timeliness_only,timeliness_only,TRUE,1308.4171343684202,1128.8543446630881,1128.8543446630881,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,70,timeliness_only,timeliness_only,TRUE,715.3625454648081,619.338500988081,619.338500988081,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,71,timeliness_only,timeliness_only,TRUE,1479.7886459813708,1272.7149764452392,1272.7149764452392,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,72,timeliness_only,timeliness_only,TRUE,1102.190260917063,918.6357068145772,918.6357068145772,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,73,timeliness_only,timeliness_only,TRUE,1495.972948805181,1288.589793063546,1288.589793063546,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
Australia,74,timeliness_only,timeliness_only,TRUE,1261.3794473511007,1075.7535227834176,1075.7535227834176,0,0,0,4edcd39cbf04bc399f65b6b9ac4a3bba92b3590976cda2f8238006e1dfde007a
