country,strategy,rank1_count,prespecified_setting_count,rank1_fraction_for_arithmetic_check,interpretation
Australia,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Australia,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Australia,maternal_immunization,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Australia,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Australia,targeted_pep_high_risk,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Australia,timeliness_only,128,128,1,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,maternal_immunization,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,targeted_pep_high_risk,27,128,0.2109375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Brazil,timeliness_only,101,128,0.7890625,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,adolescent_booster,1,128,0.0078125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,maternal_immunization,67,128,0.5234375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,targeted_pep_high_risk,3,128,0.0234375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
China,timeliness_only,57,128,0.4453125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,maternal_immunization,28,128,0.21875,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,pregnancy_tdap_scaleup,2,128,0.015625,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,targeted_pep_high_risk,4,128,0.03125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Japan,timeliness_only,94,128,0.734375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,maternal_immunization,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,targeted_pep_high_risk,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
New_Zealand,timeliness_only,128,128,1,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,maternal_immunization,2,128,0.015625,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,targeted_pep_high_risk,29,128,0.2265625,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Sweden,timeliness_only,97,128,0.7578125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,maternal_immunization,10,128,0.078125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,targeted_pep_high_risk,11,128,0.0859375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
Thailand,timeliness_only,107,128,0.8359375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,maternal_immunization,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,targeted_pep_high_risk,1,128,0.0078125,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_Kingdom,timeliness_only,127,128,0.9921875,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,adolescent_booster,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,cocooning_adjunct,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,maternal_immunization,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,pregnancy_tdap_scaleup,0,128,0,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,targeted_pep_high_risk,2,128,0.015625,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
United_States,timeliness_only,126,128,0.984375,Selected-input deterministic design-frequency count retained as an audit extract across configured settings
