data_domain,original_source,time_range,spatial_scope,age_granularity,analysis_use,preprocessing,missing_data_handling,version_or_access,configuration_output
Population and demography,United Nations World Population Prospects 2024,1990 to 2050 trajectory; 2025 to 2050 projection window,Profile-specific countries,One-year ages aggregated to eight model age groups,"Denominators, births, age movement, WPP nudging","Age 0 split into 0-2 months and 3-11 months; remaining ages aggregated to model strata; annual trajectories embedded in profile config",No imputation for model profiles with WPP records; fixed-profile fallback retained for tests,WPP 2024,config/country_profiles.yaml and data/processed/country_profile_inputs.csv
Routine immunisation schedule and coverage,"WHO/UNICEF immunisation records plus national schedule sources",Latest admissible schedule and coverage records before analysis anchor,Profile-specific countries,Dose/schedule metadata mapped to model age groups,"Vaccine-origin coverage proxies, schedule categories, maternal and adolescent programme indicators","DTP1, DTP3, child booster count, adolescent booster indicator, maternal programme and maternal coverage transformed to age-specific vaccine-origin coverage proxies","Missing maternal coverage treated as 0 when no programme value was available; country profiles require DTP coverage to be present","Source workbooks and schedule metadata in project data sources",config/country_profiles.yaml vaccine_coverage and vaccine_schedule blocks
Aggregate pertussis surveillance,National or local reported pertussis surveillance assembled into PertussisIncidence time series,Profile-specific observed years through surveillance cutoff,Profile-specific countries,Weekly/monthly/annual/partial-year reporting intervals when available,Calibration target and seasonal/multi-year diagnostics,"Reporting intervals preserved; period start/end parsed; annualised summaries use observed coverage days","Blank or invalid intervals excluded; fallback annual reported-case sources used only when interval table unavailable",Harmonised surveillance table in data/processed/pertussis_incidence_timeseries.csv,Calibration inputs and table S11 diagnostics
Age-specific pertussis cases,Harmonised local age-case workbook and selected external surveillance summaries,Latest usable profile-specific years plus external 2024 to 2025 summaries where available,Profile-specific or external comparator settings,Original age bins mapped to eight model groups where possible,"Age-pattern triangulation, plausibility checks, and age-data support classification","Mapped direct infant, under-5, child/adolescent, or absent data categories; compared current-practice modelled shares with observed shares",Not used as universal calibration target when bins or coverage were not comparable; profiles without usable local data labelled explicitly,Processed age-case availability and external triangulation summaries,Figure 1C; supplementary methods triangulation text; age-pattern weighting diagnostics
Contact matrices,Prem/contactdata social-contact estimates,Baseline contact matrices,Profile-specific countries or closest available contactdata source,Original 5-year bins aggregated to eight model groups,Force of infection and age-mixing structure,"Aggregated with WPP population weights; population reciprocity correction applied to all-setting matrices","If a location-specific matrix was unavailable for a toy diagnostic, the all-setting deterministic matrix remained the calibrated model source",Prem/contactdata implementation,config/country_profiles.yaml contact_matrix rows and contact reciprocity diagnostics
Macrolide resistance evidence,"CDC/ECDC guidance; country-specific literature and surveillance reports; data/raw/country_resistance_timeline.csv",Latest admissible evidence at or before 2025 plus fixed stress-test scenarios,Profile-specific countries,Usually all ages or isolate/genomic series depending on source,"Starting resistant fraction, importation resistant fraction, resistance scenario anchors","Evidence rows graded by type; latest admissible profile-specific value used for country-timeline anchors; fixed low/moderate/high/very-high scenarios retained",Profiles without public numeric national estimates assigned conservative low model anchors and labelled as anchors,Country resistance timeline through evidence lock,table S9; table S10; table S16
COVID-19 contact reduction timeline,Country-specific COVID-19/NPI contact-reduction timeline,Configured pandemic/NPI periods,Profile-specific countries,Not age-specific unless encoded in contact modifier,Transmission modifier during configured periods,"Calendar periods parsed; contact multiplier equals 1-reduction during period and linearly ramps back to 1","No NPI period means multiplier 1; temporal sensitivity scenarios vary contact shock assumptions",data/raw/covid_npi_contact_reduction_timeline.csv,transmission.npi_contact_reduction_periods in runtime config
Diagnostic and reporting-standard timeline,Country-specific diagnostic/reporting-standard timeline,Configured historical diagnostic periods,Profile-specific countries,All ages unless country profile specifies otherwise,Observation-layer reporting modifier,"Calendar periods parsed and applied as reporting multiplier only",No diagnostic period means multiplier 1; reporting-rate sensitivity scenarios vary observation layer separately,data/raw/pertussis_diagnostic_standards_timeline.csv,diagnostic_reporting_time_variation in runtime config
Parameter configuration and scenario definitions,Version-controlled YAML/CSV configuration files,Analysis configuration lock for this manuscript,All analysed profiles and scenarios,Age/strain/origin-specific where applicable,"Natural history, vaccine mechanisms, treatment, PEP, demography, calibration, strategy definitions","Scenario tables generated from model_settings.yaml and publication_inputs source tables","Values without direct empirical estimates labelled as assumptions and evaluated in sensitivity or stress-test analyses",config/model_settings.yaml and publication_inputs/*.csv,table S3; table S5; table S6; table S7; table S8
Model outputs and derived Lancet tables,Python simulation outputs and R/Python figure/table scripts,2025 to 2050 saved analysis period,All profiles and scenarios,"Eight model age groups aggregated to infant, children, adolescent, and all younger-than-18-years strata","Main results, figures, supplementary diagnostics, reproducibility metadata","ODE rates saved at configured intervals; interval counts integrated trapezoidally; Lancet tables aggregate predefined age groups","Failed solver runs would raise errors; generated outputs record hashes, row counts, dependency versions, and git metadata","outputs/timeseries, outputs/tables, publication_inputs scripts",Main figures and supplementary tables
